name,abv,price,size,kind,establishment_type,bar_name,county_name,beer_category,origin_zone,bar_url,beer_url
North Coast Old Rasputin Russian Imperial Stout,9.0,9.0,,Bottle,Restaurant,Archer & Goat,New York,Stout,country,https://www.beermenus.com/places/58473-archer-goat,https://www.beermenus.com/beers/26634-north-coast-old-rasputin-russian-imperial-stout
Orkney Skull Splitter,8.5,10.0,12.0,Bottle,Restaurant,Treadwell Park Downtown,New York,Stout,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/182-orkney-skull-splitter
Orkney Skull Splitter,8.5,9.0,11.2,Bottle,,Treadwell Park West,New York,Stout,world,https://www.beermenus.com/places/56966-treadwell-park-west,https://www.beermenus.com/beers/182-orkney-skull-splitter
Orkney Skull Splitter,8.5,8.0,11.0,Bottle,Bar,Adobe Blues,Richmond,Stout,world,https://www.beermenus.com/places/2078-adobe-blues,https://www.beermenus.com/beers/182-orkney-skull-splitter
Orval Trappist,6.2,14.0,11.2,Bottle,Restaurant,Treadwell Park Downtown,New York,Belgian,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,12.0,12.0,Bottle,Bar,Spring Lounge,New York,Belgian,world,https://www.beermenus.com/places/49-spring-lounge,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,11.0,11.2,Bottle,Bar,Bar Great Harry,Kings,Belgian,world,https://www.beermenus.com/places/447-bar-great-harry,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,11.0,12.0,Bottle,Bar,Blind Tiger Ale House,New York,Belgian,world,https://www.beermenus.com/places/188-blind-tiger-ale-house,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,11.0,12.0,Bottle,Bar,Barrow Street Alehouse,New York,Belgian,world,https://www.beermenus.com/places/8199-barrow-street-alehouse,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,12.0,11.2,Bottle,Bar,Fourth Avenue Pub,Kings,Belgian,world,https://www.beermenus.com/places/278-fourth-avenue-pub,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,15.0,12.0,Bottle,Bar,Uncle Barry's,Kings,Belgian,world,https://www.beermenus.com/places/3114-uncle-barry-s,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,12.0,11.0,Bottle,Bar,The Fulton Grand,Kings,Belgian,world,https://www.beermenus.com/places/1954-the-fulton-grand,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,10.25,12.0,Bottle,Bar,Sugarburg,Kings,Belgian,world,https://www.beermenus.com/places/16204-sugarburg,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,12.0,11.2,Bottle,Bar,Washington Commons,Kings,Belgian,world,https://www.beermenus.com/places/740-washington-commons,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,15.0,12.0,Bottle,,Landline,Kings,Belgian,world,https://www.beermenus.com/places/64979-landline,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,11.0,11.2,Bottle,Bar,Union Street Pub,Kings,Belgian,world,https://www.beermenus.com/places/31257-union-street-pub,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,10.0,11.2,Bottle,Bar,The Well,Kings,Belgian,world,https://www.beermenus.com/places/18701-the-well,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,13.0,11.0,Bottle,Bar,Beer Authority,New York,Belgian,world,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,14.0,11.2,Bottle,,Treadwell Park West,New York,Belgian,world,https://www.beermenus.com/places/56966-treadwell-park-west,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,15.0,12.0,Bottle,Bar,Valhalla,New York,Belgian,world,https://www.beermenus.com/places/540-valhalla,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,14.0,11.0,Bottle,Restaurant,Amsterdam Ale House,New York,Belgian,world,https://www.beermenus.com/places/640-amsterdam-ale-house,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,15.0,11.2,Bottle,Restaurant,Cafe D'Alsace,New York,Belgian,world,https://www.beermenus.com/places/1079-cafe-d-alsace,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,12.0,11.2,Bottle,Restaurant,Third Avenue Ale House,New York,Belgian,world,https://www.beermenus.com/places/7744-third-avenue-ale-house,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,11.0,12.0,Bottle,Bar,Adobe Blues,Richmond,Belgian,world,https://www.beermenus.com/places/2078-adobe-blues,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,10.0,11.2,Bottle,,BAR 177 NYC,New York,Belgian,world,https://www.beermenus.com/places/57885-bar-177-nyc,https://www.beermenus.com/beers/71250-orval-trappist
Orval Trappist,6.2,10.0,11.2,Bottle,Bar,BAR 180 NYC,New York,Belgian,world,https://www.beermenus.com/places/42483-bar-180-nyc,https://www.beermenus.com/beers/71250-orval-trappist
Oud Beersel Kriek,4.0,20.0,11.2,Bottle,Restaurant,Treadwell Park Downtown,New York,Fruit,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/4882-oud-beersel-kriek
Oud Beersel Oude Geuze,6.0,13.0,8.0,Draft,Restaurant,Treadwell Park Downtown,New York,Sour,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/25359-oud-beersel-oude-geuze
Oud Beersel Bzart Kriekenlambiek,8.0,59.0,25.0,Bottle,Bar,Broadway Dive,New York,Fruit,world,https://www.beermenus.com/places/339-broadway-dive,https://www.beermenus.com/beers/80511-oud-beersel-bzart-kriekenlambiek
Oude Beersel Bzart Lambieck,8.0,59.0,25.0,Bottle,Bar,Broadway Dive,New York,Sour,world,https://www.beermenus.com/places/339-broadway-dive,https://www.beermenus.com/beers/39608-oude-beersel-bzart-lambieck
Saison Dupont Vielle Provision,6.5,14.0,12.0,Bottle,Restaurant,Treadwell Park Downtown,New York,Ale,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Saison Dupont Vielle Provision,6.5,9.0,12.0,Bottle,Bar,Marshall Stack,New York,Ale,world,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Saison Dupont Vielle Provision,6.5,9.0,12.0,Bottle,Bar,Blind Tiger Ale House,New York,Ale,world,https://www.beermenus.com/places/188-blind-tiger-ale-house,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Saison Dupont Vielle Provision,6.5,9.0,12.0,Bottle,Bar,Barrow Street Alehouse,New York,Ale,world,https://www.beermenus.com/places/8199-barrow-street-alehouse,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Brasserie Dupont Saison Dupont Saison,6.5,14.0,11.0,Bottle,Restaurant,Croxley's Abbey,Kings,Ale,world,https://www.beermenus.com/places/19000-croxley-s-abbey,https://www.beermenus.com/beers/46371-brasserie-dupont-saison-dupont-saison
Saison Dupont Vielle Provision,6.5,9.0,11.2,Bottle,Restaurant,Giorgio's of Gramercy,New York,Ale,world,https://www.beermenus.com/places/30343-giorgio-s-of-gramercy,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
