name,abv,price,size,kind,establishment_type,bar_name,county_name,beer_category,origin_zone,bar_url,beer_url
Stone Street Tavern Pilsner,4.5,8.0,16.0,Draft,Bar,Stone Street Tavern,New York,Pilsner,city,https://www.beermenus.com/places/2251-stone-street-tavern,https://www.beermenus.com/beers/100056-stone-street-tavern-pilsner
Brooklyn Lager,5.2,9.0,16.0,Draft,Bar,Stone Street Tavern,New York,Lager,city,https://www.beermenus.com/places/2251-stone-street-tavern,https://www.beermenus.com/beers/10-brooklyn-lager
Radiant Pig Save the Robots IPA,7.0,12.0,16.0,Can,Restaurant,The Malt House Fidi,New York,IPA,city,https://www.beermenus.com/places/33669-the-malt-house-fidi,https://www.beermenus.com/beers/129043-radiant-pig-save-the-robots-ipa
Torch And Crown Hard Deadline,8.1,8.0,12.0,Draft,Bar,Murphy's Tavern,New York,IPA,city,https://www.beermenus.com/places/2261-murphy-s-tavern,https://www.beermenus.com/beers/339767-torch-and-crown-hard-deadline
Brooklyn Lager,5.2,7.0,16.0,Draft,Bar,Woodrow's,New York,Lager,city,https://www.beermenus.com/places/4803-woodrow-s,https://www.beermenus.com/beers/10-brooklyn-lager
Springdale Beta Blend: Randolph,6.9,9.0,10.0,Draft,Brewery,Randolph Beer DUMBO,Kings,Ale,city,https://www.beermenus.com/places/48714-randolph-beer-dumbo,https://www.beermenus.com/beers/338834-springdale-beta-blend-randolph
Springdale Beta Blend: Randolph,6.9,9.0,10.0,Draft,Brewery,Randolph Beer DUMBO,New York,Ale,city,https://www.beermenus.com/places/48714-randolph-beer-dumbo,https://www.beermenus.com/beers/338834-springdale-beta-blend-randolph
Talea Bravada,7.0,10.0,10.0,Draft,Bar,Randolph Beer NOLITA,New York,IPA,city,https://www.beermenus.com/places/4245-randolph-beer-nolita,https://www.beermenus.com/beers/333595-talea-bravada
Torch & Crown Intersect: Cashmere + Mosaic,5.1,10.0,10.0,Draft,Bar,Randolph Beer NOLITA,New York,IPA,city,https://www.beermenus.com/places/4245-randolph-beer-nolita,https://www.beermenus.com/beers/335807-torch-crown-intersect-cashmere-mosaic
Torch & Crown Hard Deadline,8.1,10.0,16.0,Can,Bar,One Mile House,New York,IPA,city,https://www.beermenus.com/places/3332-one-mile-house,https://www.beermenus.com/beers/335786-torch-crown-hard-deadline
Brooklyn Lager,5.2,7.0,16.0,Draft,Bar,Spring Lounge,New York,Lager,city,https://www.beermenus.com/places/49-spring-lounge,https://www.beermenus.com/beers/10-brooklyn-lager
Original Sin Dry Rose Cider,6.5,7.0,12.0,Can,Bar,Spring Lounge,New York,Fruit,city,https://www.beermenus.com/places/49-spring-lounge,https://www.beermenus.com/beers/233574-original-sin-dry-rose-cider
Torch & Crown Lace Em' Up,5.0,8.0,16.0,Draft,Bar,Marshall Stack,New York,Lager,city,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/341498-torch-crown-lace-em-up
Brooklyn Black Ops 2016,10.7,32.0,25.0,Bottle,Bar,Marshall Stack,New York,Stout,city,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/171504-brooklyn-black-ops-2016
Brooklyn Defender IPA 2019,5.5,5.0,8.0,Draft,Bar,Brazen Head,Kings,IPA,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/319586-brooklyn-defender-ipa-2019
Brooklyn Defender IPA 2019,5.5,5.0,8.0,Draft,Bar,Brazen Head,New York,IPA,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/319586-brooklyn-defender-ipa-2019
Brooklyn Lager,5.2,5.0,8.0,Draft,Bar,Brazen Head,Kings,Lager,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Lager,5.2,5.0,8.0,Draft,Bar,Brazen Head,New York,Lager,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/10-brooklyn-lager
Talea Pumpkin Roll Tart Deco,7.5,,,Draft,Bar,Fools Gold,New York,Sour,city,https://www.beermenus.com/places/14700-fools-gold,https://www.beermenus.com/beers/340463-talea-pumpkin-roll-tart-deco
Talea Raspberry Crush Gose,5.2,,,Draft,Bar,Fools Gold,New York,Sour,city,https://www.beermenus.com/places/14700-fools-gold,https://www.beermenus.com/beers/328309-talea-raspberry-crush-gose
Torch & Crown Almost Famous,6.6,9.0,16.0,Can,Bar,Benson's NYC,New York,IPA,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/300600-torch-crown-almost-famous
Torch & Crown Hard Deadline,8.1,11.0,16.0,Can,Bar,Benson's NYC,New York,IPA,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/335786-torch-crown-hard-deadline
Torch And Crown Share House,5.4,9.0,16.0,Can,Bar,Benson's NYC,New York,Ale,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/333358-torch-and-crown-share-house
Torch And Crown Slightly Sour,4.0,9.0,16.0,Can,Bar,Benson's NYC,New York,Wheat,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Original Sin Rose Cider,5.0,8.0,12.0,Can,Bar,Benson's NYC,New York,Fruit,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/224476-original-sin-rose-cider
Torch & Crown Wolverine,5.0,9.0,16.0,Can,Bar,Someday Bar NYC,Kings,Lager,city,https://www.beermenus.com/places/63434-someday-bar-nyc,https://www.beermenus.com/beers/341489-torch-crown-wolverine
Torch And Crown Slightly Sour,4.0,9.0,16.0,Can,Bar,Someday Bar NYC,Kings,Wheat,city,https://www.beermenus.com/places/63434-someday-bar-nyc,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Brooklyn Lager,5.2,8.0,16.0,Draft,Bar,Amity Hall,New York,Lager,city,https://www.beermenus.com/places/1345-amity-hall,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn East India Pale Ale,6.9,8.0,12.0,Bottle,Bar,Amity Hall,New York,IPA,city,https://www.beermenus.com/places/1345-amity-hall,https://www.beermenus.com/beers/595-brooklyn-east-india-pale-ale
Brooklyn Hand and Seal 2014,13.3,24.0,25.4,Bottle,Bar,Bar Great Harry,Kings,Aged,city,https://www.beermenus.com/places/447-bar-great-harry,https://www.beermenus.com/beers/99054-brooklyn-hand-and-seal-2014
Torch And Crown Slightly Sour,4.0,9.0,16.0,Can,Bar,Bar Great Harry,Kings,Wheat,city,https://www.beermenus.com/places/447-bar-great-harry,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Torch And Crown Hard Deadline,8.1,8.0,12.0,Draft,Bar,Coopers Craft & Kitchen,New York,IPA,city,https://www.beermenus.com/places/2962-coopers-craft-kitchen,https://www.beermenus.com/beers/339767-torch-and-crown-hard-deadline
Original Sin Black Widow,6.0,7.0,12.0,Bottle,Bar,Coopers Craft & Kitchen,New York,Fruit,city,https://www.beermenus.com/places/2962-coopers-craft-kitchen,https://www.beermenus.com/beers/204758-original-sin-black-widow
Original Sin Apple Cider,6.0,6.0,12.0,Can,Bar,Standings,New York,Fruit,city,https://www.beermenus.com/places/33-standings,https://www.beermenus.com/beers/1428-original-sin-apple-cider
Original Sin Pear Cider,4.5,6.0,12.0,Can,Bar,Standings,New York,Fruit,city,https://www.beermenus.com/places/33-standings,https://www.beermenus.com/beers/5967-original-sin-pear-cider
Brooklyn Lager,5.2,,,Draft,,White Oak Tavern,New York,Lager,city,https://www.beermenus.com/places/65124-white-oak-tavern,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Local 1,9.0,20.0,25.0,Bottle,Bar,Blind Tiger Ale House,New York,Belgian,city,https://www.beermenus.com/places/188-blind-tiger-ale-house,https://www.beermenus.com/beers/212-brooklyn-local-1
Talea Sun Up,6.5,8.0,14.0,Draft,Bar,The Immigrant Tap Room - East Village,New York,IPA,city,https://www.beermenus.com/places/30134-the-immigrant-tap-room-east-village,https://www.beermenus.com/beers/311738-talea-sun-up
Torch & Crown Hard Deadline,8.1,12.0,16.0,Can,Bar,Arts and Crafts Beer Parlor,New York,IPA,city,https://www.beermenus.com/places/14296-arts-and-crafts-beer-parlor,https://www.beermenus.com/beers/335786-torch-crown-hard-deadline
Original Sin Elderberry Cider,5.0,8.0,12.0,Bottle,Bar,Arts and Crafts Beer Parlor,New York,Fruit,city,https://www.beermenus.com/places/14296-arts-and-crafts-beer-parlor,https://www.beermenus.com/beers/30785-original-sin-elderberry-cider
Big Alice Lemongrass Kolsch,6.0,8.5,16.0,Draft,Restaurant,The Smith (East Village),New York,Ale,city,https://www.beermenus.com/places/1957-the-smith-east-village,https://www.beermenus.com/beers/164413-big-alice-lemongrass-kolsch
Big Alice Lemongrass Kölsch,5.4,8.0,16.0,Can,Restaurant,BARANO,Kings,Ale,city,https://www.beermenus.com/places/39060-barano,https://www.beermenus.com/beers/212043-big-alice-lemongrass-k-lsch
Torch & Crown Intersect: Cashmere + Mosaic,5.1,9.0,16.0,Can,Bar,Upright,New York,IPA,city,https://www.beermenus.com/places/11325-upright,https://www.beermenus.com/beers/335807-torch-crown-intersect-cashmere-mosaic
Brooklyn Lager,5.2,6.0,12.0,Bottle,Bar,Fourth Avenue Pub,Kings,Lager,city,https://www.beermenus.com/places/278-fourth-avenue-pub,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Lager,5.2,7.0,16.0,Can,Restaurant,Alchemy,Kings,Lager,city,https://www.beermenus.com/places/32020-alchemy,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Lager,5.2,7.0,16.0,Draft,Restaurant,Croxley's Abbey,Kings,Lager,city,https://www.beermenus.com/places/19000-croxley-s-abbey,https://www.beermenus.com/beers/10-brooklyn-lager
Springdale Beta Blend: Randolph,6.9,0.9,1.0,Draft,Restaurant,Randolph Beer WBURG,Kings,Ale,city,https://www.beermenus.com/places/4223-randolph-beer-wburg,https://www.beermenus.com/beers/338834-springdale-beta-blend-randolph
Brooklyn Lager,5.2,6.0,12.0,Bottle,Bar,The Roof at Whole Foods Market Gowanus,Kings,Lager,city,https://www.beermenus.com/places/14024-the-roof-at-whole-foods-market-gowanus,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Lager,5.2,6.0,16.0,Draft,Bar,IONA,Kings,Lager,city,https://www.beermenus.com/places/2263-iona,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Winter Lager,5.6,7.0,16.0,Draft,Bar,High Dive,Kings,Stout,city,https://www.beermenus.com/places/2248-high-dive,https://www.beermenus.com/beers/74312-brooklyn-winter-lager
Brooklyn Lager,5.2,6.0,12.0,Can,Bar,High Dive,Kings,Lager,city,https://www.beermenus.com/places/2248-high-dive,https://www.beermenus.com/beers/10-brooklyn-lager
Torch and Crown Sub Rosa,4.7,8.0,16.0,Draft,Bar,Hops Hill,Kings,Lager,city,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/305771-torch-and-crown-sub-rosa
Brooklyn Black Chocolate Stout 2010,10.6,15.0,12.0,Bottle,Bar,Hops Hill,Kings,Stout,city,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/8889-brooklyn-black-chocolate-stout-2010
Brooklyn Black Chocolate Stout 2011,10.0,15.0,12.0,Bottle,Bar,Hops Hill,Kings,Stout,city,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/20119-brooklyn-black-chocolate-stout-2011
Brooklyn Monster 2007,10.1,17.0,12.0,Bottle,Bar,Hops Hill,Kings,Aged,city,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/204709-brooklyn-monster-2007
Brooklyn Monster Ale 2010,10.8,15.0,12.0,Bottle,Bar,Hops Hill,Kings,Aged,city,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/228761-brooklyn-monster-ale-2010
Torch And Crown Lace 'Em Up,4.9,8.0,16.0,Draft,Bar,Coopers Craft and Kitchen: Chelsea,New York,Lager,city,https://www.beermenus.com/places/19285-coopers-craft-and-kitchen-chelsea,https://www.beermenus.com/beers/344321-torch-and-crown-lace-em-up
Talea Pumpkin Roll Tart Deco,7.5,4.0,4.0,Draft,Bar,BierWax,Kings,Sour,city,https://www.beermenus.com/places/49494-bierwax,https://www.beermenus.com/beers/340463-talea-pumpkin-roll-tart-deco
Talea Bravada,7.0,7.0,12.0,Can,Bar,BierWax,Kings,IPA,city,https://www.beermenus.com/places/49494-bierwax,https://www.beermenus.com/beers/333595-talea-bravada
Torch & Crown Hard Deadline,8.1,10.0,16.0,Can,Bar,BierWax,Kings,IPA,city,https://www.beermenus.com/places/49494-bierwax,https://www.beermenus.com/beers/335786-torch-crown-hard-deadline
Torch & Crown Lace Em' Up,5.0,8.0,16.0,Can,Bar,BierWax,Kings,Lager,city,https://www.beermenus.com/places/49494-bierwax,https://www.beermenus.com/beers/341498-torch-crown-lace-em-up
Brooklyn Oktoberfest,5.5,7.0,16.0,Draft,Bar,Logan’s Run,Kings,Ale,city,https://www.beermenus.com/places/57966-logan-s-run,https://www.beermenus.com/beers/866-brooklyn-oktoberfest
Brooklyn Lager,5.2,7.0,14.0,Draft,Bar,Teddy's Bar & Grill,Kings,Lager,city,https://www.beermenus.com/places/27062-teddy-s-bar-grill,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Oktoberfest,5.5,7.0,14.0,Draft,Bar,Teddy's Bar & Grill,Kings,Ale,city,https://www.beermenus.com/places/27062-teddy-s-bar-grill,https://www.beermenus.com/beers/866-brooklyn-oktoberfest
Brooklyn Lager,5.2,8.0,16.0,Draft,Bar,Fitzgerald's Pub,New York,Lager,city,https://www.beermenus.com/places/42629-fitzgerald-s-pub,https://www.beermenus.com/beers/10-brooklyn-lager
Big Alice Oatmeal Stout,5.0,7.0,12.0,Draft,Bar,Young Ethel's,Kings,Stout,city,https://www.beermenus.com/places/64151-young-ethel-s,https://www.beermenus.com/beers/326295-big-alice-oatmeal-stout
Brooklyn Lager,5.2,7.0,16.0,Draft,Bar,The Gibson,Kings,Lager,city,https://www.beermenus.com/places/1015-the-gibson,https://www.beermenus.com/beers/10-brooklyn-lager
Big Alice Lemongrass Kolsch,6.0,8.5,16.0,Draft,Restaurant,The Smith (Nomad),New York,Ale,city,https://www.beermenus.com/places/42680-the-smith-nomad,https://www.beermenus.com/beers/164413-big-alice-lemongrass-kolsch
Brooklyn Lager,5.2,7.0,16.0,Draft,Bar,Burnside,Kings,Lager,city,https://www.beermenus.com/places/3054-burnside,https://www.beermenus.com/beers/10-brooklyn-lager
Talea Raspberry Crush Gose,5.2,9.0,10.0,Draft,Bar,Tavern29,New York,Sour,city,https://www.beermenus.com/places/4862-tavern29,https://www.beermenus.com/beers/328309-talea-raspberry-crush-gose
Torch & Crown Lace Em' Up,5.0,8.0,,Draft,,Paulie Gee's Slice Shop,Kings,Lager,city,https://www.beermenus.com/places/65471-paulie-gee-s-slice-shop,https://www.beermenus.com/beers/341498-torch-crown-lace-em-up
Torch and Crown Make 'Em Wait,7.0,7.0,12.0,Draft,Bar,Albion,New York,IPA,city,https://www.beermenus.com/places/18217-albion,https://www.beermenus.com/beers/314823-torch-and-crown-make-em-wait
Talea Tropicberry Tart Deco,7.5,8.0,12.0,Can,Bar,Albion,New York,IPA,city,https://www.beermenus.com/places/18217-albion,https://www.beermenus.com/beers/333594-talea-tropicberry-tart-deco
Talea Pumpkin Roll Tart Deco,7.5,8.0,12.0,Bottle,Bar,Northern Bell,Kings,Sour,city,https://www.beermenus.com/places/16281-northern-bell,https://www.beermenus.com/beers/340463-talea-pumpkin-roll-tart-deco
Brooklyn Lager,5.2,6.0,14.0,Draft,Bar,Teds Corner Tavern,New York,Lager,city,https://www.beermenus.com/places/19613-teds-corner-tavern,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Oktoberfest,5.5,6.0,16.0,Draft,Bar,Greenwood Park,Kings,Ale,city,https://www.beermenus.com/places/6530-greenwood-park,https://www.beermenus.com/beers/866-brooklyn-oktoberfest
Brooklyn Bel Air Sour Ale,5.8,7.0,12.0,Bottle,,Landline,Kings,Sour,city,https://www.beermenus.com/places/64979-landline,https://www.beermenus.com/beers/146096-brooklyn-bel-air-sour-ale
Talea Bravada,7.0,8.0,12.0,Draft,Bar,District Social,New York,IPA,city,https://www.beermenus.com/places/27894-district-social,https://www.beermenus.com/beers/333595-talea-bravada
Torch & Crown Intersect: Cashmere + Mosaic,5.1,8.0,12.0,Draft,Bar,District Social,New York,IPA,city,https://www.beermenus.com/places/27894-district-social,https://www.beermenus.com/beers/335807-torch-crown-intersect-cashmere-mosaic
Torch & Crown Lace Em' Up,5.0,8.0,12.0,Draft,Bar,District Social,New York,Lager,city,https://www.beermenus.com/places/27894-district-social,https://www.beermenus.com/beers/341498-torch-crown-lace-em-up
Torch & Crown Make 'Em Wait,7.0,8.0,12.0,Draft,Bar,District Social,New York,IPA,city,https://www.beermenus.com/places/27894-district-social,https://www.beermenus.com/beers/314341-torch-crown-make-em-wait
Torch And Crown Hard Deadline,8.1,8.0,12.0,Draft,Bar,District Tap House,New York,IPA,city,https://www.beermenus.com/places/13675-district-tap-house,https://www.beermenus.com/beers/339767-torch-and-crown-hard-deadline
Torch And Crown Slightly Sour,4.0,8.0,16.0,Draft,Bar,District Tap House,New York,Wheat,city,https://www.beermenus.com/places/13675-district-tap-house,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Radiant Pig Gangster Duck Red Ale,6.2,10.0,16.0,Can,Bar,District Tap House,New York,Ale,city,https://www.beermenus.com/places/13675-district-tap-house,https://www.beermenus.com/beers/256509-radiant-pig-gangster-duck-red-ale
Torch & Crown Almost Famous,6.6,12.0,16.0,Can,Bar,District Tap House,New York,IPA,city,https://www.beermenus.com/places/13675-district-tap-house,https://www.beermenus.com/beers/300600-torch-crown-almost-famous
Torch and Crown Make 'Em Wait,7.0,12.0,16.0,Can,Bar,District Tap House,New York,IPA,city,https://www.beermenus.com/places/13675-district-tap-house,https://www.beermenus.com/beers/314823-torch-and-crown-make-em-wait
Torch and Crown Rainbows Everywhere Hazy IPA,6.9,12.0,16.0,Can,Bar,District Tap House,New York,IPA,city,https://www.beermenus.com/places/13675-district-tap-house,https://www.beermenus.com/beers/321159-torch-and-crown-rainbows-everywhere-hazy-ipa
Torch And Crown Hard Deadline,8.1,9.0,12.0,Draft,Bar,Rattle N Hum West,New York,IPA,city,https://www.beermenus.com/places/26966-rattle-n-hum-west,https://www.beermenus.com/beers/339767-torch-and-crown-hard-deadline
Torch and Crown Make 'Em Wait,7.0,9.0,12.0,Draft,Bar,Rattle N Hum West,New York,IPA,city,https://www.beermenus.com/places/26966-rattle-n-hum-west,https://www.beermenus.com/beers/314823-torch-and-crown-make-em-wait
Brooklyn Black Ops 2014,11.6,40.0,25.0,Bottle,Bar,Rattle N Hum West,New York,Stout,city,https://www.beermenus.com/places/26966-rattle-n-hum-west,https://www.beermenus.com/beers/69114-brooklyn-black-ops-2014
Brooklyn Lager,5.2,8.0,16.0,Draft,Bar,Beer Authority,New York,Lager,city,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/10-brooklyn-lager
Original Sin Black Widow,6.0,,,Draft,Bar,Beer Authority,New York,Fruit,city,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/204758-original-sin-black-widow
Torch and Crown Almost Famous,6.6,,,Draft,Bar,Beer Authority,New York,IPA,city,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/308361-torch-and-crown-almost-famous
Brooklyn Black Ops 2016,10.7,45.0,25.0,Bottle,Bar,Beer Authority,New York,Stout,city,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/171504-brooklyn-black-ops-2016
Brooklyn Hand and Seal,13.3,27.0,9.0,Bottle,Bar,Beer Authority,New York,Aged,city,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/62597-brooklyn-hand-and-seal
Big Alice Queensbridge,6.6,10.0,16.0,Can,Bar,Mayhem Sandwiches - UrbanSpace Vanderbilt,New York,IPA,city,https://www.beermenus.com/places/30626-mayhem-sandwiches-urbanspace-vanderbilt,https://www.beermenus.com/beers/212046-big-alice-queensbridge
Brooklyn Lager,5.2,8.5,16.0,Draft,Bar,Daltons Bar And Grill,New York,Lager,city,https://www.beermenus.com/places/10056-daltons-bar-and-grill,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Winter Lager,5.6,8.0,16.0,Draft,Bar,Pine Box Rock Shop,Kings,Stout,city,https://www.beermenus.com/places/2166-pine-box-rock-shop,https://www.beermenus.com/beers/74312-brooklyn-winter-lager
Brooklyn Oktoberfest,5.5,7.0,14.0,Draft,Bar,LANSDOWNE ROAD,New York,Ale,city,https://www.beermenus.com/places/492-lansdowne-road,https://www.beermenus.com/beers/866-brooklyn-oktoberfest
Radiant Pig Own The Night,6.7,8.0,16.0,Can,Bar,Deacon Brodie's Tavern,New York,IPA,city,https://www.beermenus.com/places/31417-deacon-brodie-s-tavern,https://www.beermenus.com/beers/311394-radiant-pig-own-the-night
Big Alice Lemongrass Kolsch,6.0,8.5,16.0,Draft,Restaurant,The Smith (Midtown),New York,Ale,city,https://www.beermenus.com/places/23505-the-smith-midtown,https://www.beermenus.com/beers/164413-big-alice-lemongrass-kolsch
Big Alice Things You Hear In Passing,6.3,8.0,16.0,Draft,Bar,The Gutter LIC,Queens,Ale,city,https://www.beermenus.com/places/43942-the-gutter-lic,https://www.beermenus.com/beers/341588-big-alice-things-you-hear-in-passing
Brooklyn Defender 2019,5.5,7.0,16.0,Draft,Bar,The Gutter LIC,Queens,IPA,city,https://www.beermenus.com/places/43942-the-gutter-lic,https://www.beermenus.com/beers/304795-brooklyn-defender-2019
Brooklyn Lager,5.2,5.0,,Draft,,123 Burger Shot Beer,New York,Lager,city,https://www.beermenus.com/places/64264-123-burger-shot-beer,https://www.beermenus.com/beers/10-brooklyn-lager
Big Alice Sweet Potato Farmhouse Ale,6.6,8.0,16.0,Draft,Bar,Judge Roy Bean Public House,New York,Ale,city,https://www.beermenus.com/places/27941-judge-roy-bean-public-house,https://www.beermenus.com/beers/114393-big-alice-sweet-potato-farmhouse-ale
Brooklyn Black Chocolate Stout 2019,10.0,10.0,14.0,Draft,Bar,Judge Roy Bean Public House,New York,Stout,city,https://www.beermenus.com/places/27941-judge-roy-bean-public-house,https://www.beermenus.com/beers/343093-brooklyn-black-chocolate-stout-2019
Brooklyn Lager,5.2,8.0,16.0,Draft,Bar,Judge Roy Bean Public House,New York,Lager,city,https://www.beermenus.com/places/27941-judge-roy-bean-public-house,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn East India Pale Ale,6.9,7.0,12.0,Bottle,Bar,Judge Roy Bean Public House,New York,IPA,city,https://www.beermenus.com/places/27941-judge-roy-bean-public-house,https://www.beermenus.com/beers/595-brooklyn-east-india-pale-ale
Brooklyn Pilsner,5.0,7.0,12.0,Bottle,Bar,Judge Roy Bean Public House,New York,Pilsner,city,https://www.beermenus.com/places/27941-judge-roy-bean-public-house,https://www.beermenus.com/beers/601-brooklyn-pilsner
Brooklyn Lager,5.2,7.0,16.0,Draft,Restaurant,The Burger Garage,Queens,Lager,city,https://www.beermenus.com/places/29720-the-burger-garage,https://www.beermenus.com/beers/10-brooklyn-lager
Talea Pumpkin Roll Tart Deco,7.5,,,Draft,Bar,The Jeffrey,New York,Sour,city,https://www.beermenus.com/places/46857-the-jeffrey,https://www.beermenus.com/beers/340463-talea-pumpkin-roll-tart-deco
Talea Raspberry Crush Gose,5.2,10.0,12.0,Can,Bar,THE BARONESS bar + kitchen,Queens,Sour,city,https://www.beermenus.com/places/38379-the-baroness-bar-kitchen,https://www.beermenus.com/beers/328309-talea-raspberry-crush-gose
Original Sin Black Widow,6.0,7.0,12.0,Can,Bar,THE BARONESS bar + kitchen,Queens,Fruit,city,https://www.beermenus.com/places/38379-the-baroness-bar-kitchen,https://www.beermenus.com/beers/204758-original-sin-black-widow
Original Sin Pear Cider,4.5,7.0,12.0,Can,Bar,THE BARONESS bar + kitchen,Queens,Fruit,city,https://www.beermenus.com/places/38379-the-baroness-bar-kitchen,https://www.beermenus.com/beers/5967-original-sin-pear-cider
Big Alice Lemongrass Kolsch,6.0,8.5,16.0,Draft,Restaurant,The Smith (Lincoln Square),New York,Ale,city,https://www.beermenus.com/places/64544-the-smith-lincoln-square,https://www.beermenus.com/beers/164413-big-alice-lemongrass-kolsch
Brooklyn Lager,5.2,6.0,12.0,Can,Bar,The Seneca,Queens,Lager,city,https://www.beermenus.com/places/30816-the-seneca,https://www.beermenus.com/beers/10-brooklyn-lager
Alphabet City 7th St Blonde Ale,5.1,8.0,14.0,Draft,Bar,The Pony Bar - Upper East Side,New York,Ale,city,https://www.beermenus.com/places/4830-the-pony-bar-upper-east-side,https://www.beermenus.com/beers/270094-alphabet-city-7th-st-blonde-ale
Original Sin Apple Cider,6.0,6.0,16.0,Draft,Bar,The Bonus Room,Queens,Fruit,city,https://www.beermenus.com/places/41417-the-bonus-room,https://www.beermenus.com/beers/1428-original-sin-apple-cider
Torch and Crown Make 'Em Wait,7.0,9.0,12.0,Draft,,Eli's Night Shift,New York,IPA,city,https://www.beermenus.com/places/65340-eli-s-night-shift,https://www.beermenus.com/beers/314823-torch-and-crown-make-em-wait
Original Sin Apple Cider,6.0,7.0,16.0,Draft,Bar,Bean Post Pub,Kings,Fruit,city,https://www.beermenus.com/places/1269-bean-post-pub,https://www.beermenus.com/beers/1428-original-sin-apple-cider
Original Sin McIntosh Unfiltered,6.0,7.0,12.0,Can,Bar,Bean Post Pub,Kings,Fruit,city,https://www.beermenus.com/places/1269-bean-post-pub,https://www.beermenus.com/beers/299511-original-sin-mcintosh-unfiltered
Brooklyn Lager,5.2,9.0,16.0,Draft,Restaurant,Amsterdam Ale House,New York,Lager,city,https://www.beermenus.com/places/640-amsterdam-ale-house,https://www.beermenus.com/beers/10-brooklyn-lager
Original Sin Apple Cider,6.0,6.0,16.0,Draft,Bar,Pour House of Bay Ridge,Kings,Fruit,city,https://www.beermenus.com/places/1283-pour-house-of-bay-ridge,https://www.beermenus.com/beers/1428-original-sin-apple-cider
Big Alice Sweet Potato Farmhouse Ale,6.6,7.0,14.0,Draft,Bar,Solid State,Queens,Ale,city,https://www.beermenus.com/places/47583-solid-state,https://www.beermenus.com/beers/114393-big-alice-sweet-potato-farmhouse-ale
Brooklyn Oktoberfest,5.5,7.0,,Draft,,Bailey's Corner Pub,New York,Ale,city,https://www.beermenus.com/places/60515-bailey-s-corner-pub,https://www.beermenus.com/beers/866-brooklyn-oktoberfest
Alphabet City Loisaida Imperial,7.0,8.0,16.0,Can,,Bailey's Corner Pub,New York,Lager,city,https://www.beermenus.com/places/60515-bailey-s-corner-pub,https://www.beermenus.com/beers/296890-alphabet-city-loisaida-imperial
Original Sin Apple Cider,6.0,8.0,16.0,Draft,Bar,George Keeley,New York,Fruit,city,https://www.beermenus.com/places/16-george-keeley,https://www.beermenus.com/beers/1428-original-sin-apple-cider
Brooklyn Lager,5.2,8.0,16.0,Draft,Bar,Merrion Square Pub,New York,Lager,city,https://www.beermenus.com/places/2061-merrion-square-pub,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Lager,5.2,7.0,12.0,Bottle,Bar,Astoria Craft Bar & Kitchen,Queens,Lager,city,https://www.beermenus.com/places/21428-astoria-craft-bar-kitchen,https://www.beermenus.com/beers/10-brooklyn-lager
Talea Bravada,7.0,8.0,12.0,Can,Bar,Earl's Beer & Cheese,New York,IPA,city,https://www.beermenus.com/places/2195-earl-s-beer-cheese,https://www.beermenus.com/beers/333595-talea-bravada
